yyyy doy mn dd    MJD                 P0ms           Pdot0                  nu0            nudot0_15       tJPLms        SNthr 
2018 003 01 03  58121     33.7439688099380   4.210078E-013     29.6349254479363        -369741.19608      20.5276         5.5 
nGRPmax
    534
 nGRP  nORG  NSEQpulse        TDBsec                  MJD   peakSN    sumSN  Nsubpulse        phase       UThhmmss          UTsec
   59    59    1074209  36248.117273  58121.4195383943680     5.62     5.62          1      0.40178   95510.976764   35710.976765
   60    60    1074494  36257.734493  58121.4196497047810     7.19     7.19          1      0.40722   95520.594284   35720.594285
   61    61    1077716  36366.457327  58121.4209080709120     8.30     8.30          1      0.39886   95709.320520   35829.320520
   62    62    1078312  36386.568653  58121.4211408408830    11.61    16.08          3      0.39622   95729.432475   35849.432475
   63    63    1078346  36387.716357  58121.4211541245060    50.97    61.17          3      0.40833   95730.580215   35850.580215
   64    64    1079398  36423.214896  58121.4215649872260    10.05    11.92          2      0.40442   95806.079864   35886.079865
   65    65    1080159  36448.893828  58121.4218621970820     6.55     6.55          1      0.39731   95831.759599   35911.759600
   66    66    1080167  36449.164019  58121.4218653242880    65.78    77.00          4      0.40442   95832.029799   35912.029800
   67    67    1081384  36490.230089  58121.4223406260220    15.56    18.68          2      0.39378   95913.097155   35953.097155
   68    68    1081756  36502.783086  58121.4224859153540     5.90     5.90          1      0.40075   95925.650544   35965.650545
   69    69    1082501  36527.922475  58121.4227768804990    14.57    21.52          3      0.40431   95950.790719   35990.790720
   70    70    1082679  36533.928842  58121.4228463986300     9.56    13.72          2      0.40244   95956.797274   35996.797275
   71    71    1083211  36551.880595  58121.4230541735550     6.24     6.54          2      0.40108  100014.749589   36014.749590
   72    72    1083360  36556.908817  58121.4231123705730     5.54     5.54          1      0.41203  100019.777970   36019.777970
   73    73    1085667  36634.756091  58121.4240133806850    26.47    29.89          3      0.40911  100137.627679   36097.627680
   74    74    1086872  36675.417508  58121.4244839989380    23.23    27.10          3      0.40661  100218.290370   36138.290370
   75    75    1087609  36700.286540  58121.4247718349570    38.85    43.61          2      0.39817  100243.160179   36163.160180
   76    76    1089017  36747.798387  58121.4253217405950     7.59     9.60          2      0.40758  100330.673515   36210.673515
   77    77    1089549  36765.749990  58121.4255295137660    11.73    16.68          3      0.40175  100348.625679   36228.625680
   78    78    1090873  36810.427071  58121.4260466096130     8.96     8.96          1      0.40311  100433.304159   36273.304160
   79    79    1091895  36844.913496  58121.4264457580540     7.19    10.69          2      0.40528  100507.791664   36307.791665
   80    80    1092189  36854.834405  58121.4265605833980    13.23    19.54          2      0.41056  100517.712885   36317.712885
   81    81    1093091  36885.271232  58121.4269128614780     6.19     6.19          1      0.40322  100548.150665   36348.150665
   82    82    1093130  36886.587216  58121.4269280927740     9.62    12.80          3      0.40231  100549.466690   36349.466690
   83    83    1094482  36932.209262  58121.4274561257220    37.70    54.36          4      0.40761  100635.090165   36395.090165
   84    84    1094993  36949.452417  58121.4276556992640     5.81    11.05          3      0.40697  100652.333859   36412.333860
   85    85    1095032  36950.768750  58121.4276709346050     5.52     5.52          1      0.41642  100653.650235   36413.650235
   86    86    1095177  36955.661197  58121.4277275601540    30.30    33.94          2      0.40364  100658.542835   36418.542835
   87    87    1096988  37016.771693  58121.4284348575620    13.65    18.38          3      0.40778  100759.655245   36479.655245
   88    88    1097984  37050.380640  58121.4288238499970     8.66     8.66          1      0.40597  100833.265245   36513.265245
   89    89    1098783  37077.341885  58121.4291359014400     7.54     7.56          2      0.40008  100900.227335   36540.227335
   90    90    1099785  37111.153290  58121.4295272371580     5.81     9.82          3      0.39811  100934.039799   36574.039800
   91    91    1100132  37122.862329  58121.4296627584380     5.72     5.72          1      0.39442  100945.749205   36585.749205
   92    92    1100238  37126.439186  58121.4297041572480     6.77     9.22          2      0.39428  100949.326175   36589.326175
   93    93    1100875  37147.934488  58121.4299529454720     5.64     6.75          2      0.40564  101010.822149   36610.822150
   94    94    1101792  37178.877393  58121.4303110809340    18.60    20.87          2      0.39592  101041.766024   36641.766025
   95    95    1102358  37197.976674  58121.4305321374340     7.11     9.41          2      0.40142  101100.865904   36660.865905
   96    96    1102487  37202.329543  58121.4305825178620    13.35    17.71          3      0.39831  101105.218910   36665.218910
   97    97    1102601  37206.176512  58121.4306270429700     5.72     7.76          2      0.40289  101109.065999   36669.066000
   98    98    1113211  37564.200061  58121.4347708340480    13.99    15.63          2      0.39911  101707.100774   37027.100775
   99    99    1115658  37646.771850  58121.4357265260420     5.85     6.92          2      0.40678  101829.675154   37109.675155
  100   100    1116824  37686.117136  58121.4361819112960     8.09    10.40          2      0.40083  101909.021675   37149.021675
  101   101    1117254  37700.627195  58121.4363498517890    11.24    18.76          3      0.40517  101923.532189   37163.532190
  102   102    1119677  37782.388844  58121.4372961671810     7.53     7.90          2      0.40442  102045.296405   37245.296405
  103   103    1122386  37873.801275  58121.4383541814270    18.14    18.14          1      0.40369  102216.711705   37336.711705
  104   104    1123533  37912.505410  58121.4388021459580    35.79    40.27          2      0.39731  102255.417054   37375.417055
  105   105    1125922  37993.120003  58121.4397351852160     7.09     7.09          1      0.40364  102416.034180   37456.034180
  106   106    1126413  38009.688348  58121.4399269484670    34.31    40.97          3      0.40506  102432.603045   37472.603045
  107   107    1128785  38089.729069  58121.4408533457020    27.62    30.53          2      0.40475  102552.646280   37552.646280
  108   108    1128920  38094.284461  58121.4409060701570     6.02     6.02          1      0.40339  102557.201815   37557.201815
  109   109    1131772  38190.522343  58121.4420199345280    12.22    18.19          3      0.40447  102733.442719   37653.442720
  110   110    1132307  38208.575430  58121.4422288822910     7.16     7.16          1      0.40614  102751.496375   37671.496375
  111   111    1132394  38211.510958  58121.4422628583170    15.68    26.79          2      0.40022  102754.431994   37674.431995
  112   112    1133551  38250.552881  58121.4427147324160    15.06    34.38          6      0.40417  102833.475144   37713.475145
  113   113    1134218  38273.060284  58121.4429752347780     6.47     6.47          1      0.40906  102855.983254   37735.983255
  114   114    1139327  38445.458075  58121.4449705795710     6.75     6.75          1      0.40228  103148.386465   37908.386465
  115   115    1140764  38493.948141  58121.4455318071810     6.87     6.87          1      0.40108  103236.878055   37956.878055
  116   116    1141312  38512.439919  58121.4457458323970     5.84     7.89          2      0.40328  103255.370414   37975.370415
  117   117    1144700  38626.764474  58121.4470690332670    24.04    26.64          2      0.40131  103449.698564   38089.698565
  118   118    1145269  38645.964815  58121.4472912594300     9.10     9.29          2      0.40172  103508.899510   38108.899510
  119   119    1145321  38647.719660  58121.4473115701380    11.12    13.53          2      0.40639  103510.654410   38110.654410
  120   120    1145802  38663.950364  58121.4474994255100     5.68     8.95          2      0.40186  103526.885625   38126.885625
  121   121    1148930  38769.501583  58121.4487210831360   133.77   146.58          3      0.40286  103712.440164   38232.440165
  122   122    1150467  38821.365946  58121.4493213651200     7.90     8.37          2      0.39867  103804.306160   38284.306160
  123   123    1150561  38824.537982  58121.4493580785020    12.13    14.25          2      0.40164  103807.478295   38287.478295
  124   124    1152466  38888.819898  58121.4501020821500     5.59     7.67          2      0.39053  103911.762235   38351.762235
  125   125    1153729  38931.438977  58121.4505953585280    11.33    20.43          3      0.40314  103954.382655   38394.382655
  126   126    1161305  39187.083432  58121.4535542063870    21.95    23.41          2      0.40381  104410.035159   38650.035160
  127   127    1162574  39229.904553  58121.4540498212100    20.70    25.63          2      0.40392  104452.857629   38692.857630
  128   128    1162770  39236.518380  58121.4541263701380    18.12    18.41          2      0.40408  104459.471664   38699.471665
  129   129    1162836  39238.745580  58121.4541521479170    11.50    12.67          2      0.40694  104501.698935   38701.698935
  130   130    1164235  39285.953162  58121.4546985319680     6.66     9.00          2      0.39944  104548.908004   38748.908005
  131   131    1164503  39294.996797  58121.4548032036740    21.05    32.32          3      0.40678  104557.951925   38757.951925
  132   132    1165688  39334.983422  58121.4552660118270     5.67     8.23          2      0.40683  104637.939810   38797.939810
  133   133    1165876  39341.327252  58121.4553394357890    20.01    24.23          3      0.40569  104644.283839   38804.283840
  134   134    1170702  39504.175845  58121.4572242574590    12.39    12.39          1      0.40919  104927.137564   38967.137565
  135   135    1170933  39511.970509  58121.4573144734850     6.01     6.01          1      0.40339  104934.932475   38974.932475
  136   136    1171869  39543.554638  58121.4576800305280     6.82    11.58          3      0.39622  105006.517599   39006.517600
  137   137    1173571  39600.986932  58121.4583447561600    51.30    56.29          3      0.39714  105103.951704   39063.951705
  138   138    1175028  39650.152182  58121.4589137984000     7.15     9.49          2      0.40492  105153.118504   39113.118505
  139   139    1175225  39656.799677  58121.4589907369980     9.69    16.44          3      0.40286  105159.766210   39119.766210
  140   140    1175801  39676.236159  58121.4592156962820     5.61     9.01          2      0.40128  105219.203305   39139.203305
  141   141    1178241  39758.571472  58121.4601686513020    43.91    69.23          6      0.40092  105341.541214   39221.541215
  142   142    1178303  39760.663526  58121.4601928648830    17.47    21.60          3      0.39875  105343.633334   39223.633335
  143   143    1180427  39832.336070  58121.4610224082180    10.23    11.52          2      0.40819  105455.308140   39295.308140
  144   144    1180443  39832.876023  58121.4610286576770    55.04    63.18          3      0.40964  105455.848109   39295.848110
  145   145    1180933  39849.410176  58121.4612200251900     7.59    13.46          3      0.39781  105512.382785   39312.382785
  146   146    1181766  39877.519139  58121.4615453604100    11.84    14.42          2      0.40442  105540.492635   39340.492635
  147   147    1181948  39883.660415  58121.4616164399870     6.64     8.70          2      0.40058  105546.634104   39346.634105
  148   148    1183182  39925.300731  58121.4620983880830     6.86    17.69          4      0.40761  105628.275735   39388.275735
  149   149    1183650  39941.092702  58121.4622811655300     8.19    12.44          2      0.40128  105644.068205   39404.068205
  150   150    1183802  39946.222011  58121.4623405325310    11.72    11.72          1      0.40789  105649.197675   39409.197675
  151   151    1184225  39960.495500  58121.4625057349500     7.87    16.91          5      0.40147  105703.471615   39423.471615
  152   152    1184330  39964.038628  58121.4625467433860    10.43    10.45          2      0.40175  105707.014855   39427.014855
  153   153    1184679  39975.815361  58121.4626830481540     5.81     8.02          2      0.40419  105718.791960   39438.791960
  154   154    1184784  39979.358265  58121.4627240539900     7.36    15.20          4      0.39781  105722.334974   39442.334975
  155   155    1185059  39988.637812  58121.4628314561540    14.29    15.04          2      0.39636  105731.614815   39451.614815
  156   156    1185104  39990.156669  58121.4628490355200     6.50     6.69          2      0.40756  105733.133719   39453.133720
  157   157    1185189  39993.024733  58121.4628822307070     8.45     9.38          2      0.40239  105736.001875   39456.001875
  158   158    1185664  40009.053242  58121.4630677458560     5.91     5.91          1      0.40581  105752.030890   39472.030890
  159   159    1187250  40062.570798  58121.4636871620220     9.28    11.39          2      0.39378  105845.550134   39525.550135
  160   160    1187930  40085.516833  58121.4639527411200     5.59     5.59          1      0.39750  105908.496894   39548.496895
  161   161    1188542  40106.168131  58121.4641917607680     9.25    12.95          3      0.39686  105929.148845   39569.148845
  162   162    1190773  40181.451243  58121.4650630930940    13.38    13.69          2      0.40517  110044.434334   39644.434335
  163   163    1191161  40194.544085  58121.4652146306050     5.93     5.93          1      0.41036  110057.527589   39657.527590
  164   164    1191264  40198.019540  58121.4652548557820     8.57     9.92          2      0.40517  110101.003154   39661.003155
