yyyy doy mn dd    MJD                 P0ms           Pdot0                  nu0            nudot0_15       tJPLms        SNthr 
2018 003 01 03  58121     33.7439688099380   4.210078E-013     29.6349254479363        -369741.19608      20.5276         5.5 
nGRPmax
   7961
 nGRP  nORG  NSEQpulse        TDBsec                  MJD   peakSN    sumSN  Nsubpulse        phase       UThhmmss          UTsec
   59    59     983700  33193.969458  58121.3841894613250    11.52    21.54          4     -0.00183   90416.733729   32656.733730
   60    60     983994  33203.890409  58121.3843042871420     8.15    12.02          2      0.00469   90426.654989   32666.654990
   61    61     984051  33205.813444  58121.3843265444860     7.26     7.26          1     -0.00631   90428.578085   32668.578085
   62    62     984133  33208.580723  58121.3843585731840     5.67     8.44          2      0.00175   90431.345450   32671.345450
   63    63     984171  33209.862994  58121.3843734142850     5.60    13.13          4      0.00172   90432.627759   32672.627760
   64    64     984262  33212.933598  58121.3844089536770     7.46     8.06          2     -0.00117   90435.698459   32675.698460
   65    65     984328  33215.160754  58121.3844347309440    15.17    23.51          3      0.00039   90437.925684   32677.925685
   66    66     984333  33215.329519  58121.3844366842500    24.67    56.50          5      0.00172   90438.094454   32678.094455
   67    67     984451  33219.311230  58121.3844827688700     6.30     6.92          2     -0.00061   90442.076290   32682.076290
   68    68     984528  33221.909444  58121.3845128407810    30.95    34.61          3     -0.00275   90444.674585   32684.674585
   69    69     984586  33223.866683  58121.3845354940160     9.64    13.77          2     -0.00014   90446.631884   32686.631885
   70    70     984632  33225.418990  58121.3845534605310     9.97    14.39          3      0.00233   90448.184239   32688.184240
   71    71     984693  33227.477366  58121.3845772843260    11.18    11.92          2      0.00211   90450.242679   32690.242680
   72    72     984767  33229.974203  58121.3846061828990     5.89     5.89          1     -0.00433   90452.739594   32692.739595
   73    73     984873  33233.551317  58121.3846475846910     6.04     9.32          2      0.00314   90456.316820   32696.316820
   74    74     985053  33239.625168  58121.3847178838910    13.38    35.04          5      0.00119   90502.390859   32702.390860
   75    75     985130  33242.223387  58121.3847479558660    29.16    32.42          2     -0.00081   90504.989160   32704.989160
   76    76     985311  33248.331028  58121.3848186461570    19.85    31.48          4     -0.00142   90511.096989   32711.096990
   77    77     985325  33248.803478  58121.3848241143300     6.29    12.48          5     -0.00042   90511.569455   32711.569455
   78    78     985449  33252.987703  58121.3848725428610     5.81    10.63          3     -0.00125   90515.753809   32715.753810
   79    79     985505  33254.877424  58121.3848944146300     8.26     8.26          1      0.00047   90517.643589   32717.643590
   80    80     985529  33255.687314  58121.3849037883520     6.85    17.42          4      0.00147   90518.453505   32718.453505
   81    81     985685  33260.951220  58121.3849647131900     7.17     8.34          2     -0.00311   90523.717574   32723.717575
   82    82     985831  33265.878052  58121.3850217367170     8.45    10.41          2      0.00311   90528.644560   32728.644560
   83    83     985864  33266.991372  58121.3850346223620     9.78    12.35          2     -0.00372   90529.757914   32729.757915
   84    84     986126  33275.832503  58121.3851369502720     5.87     9.58          3      0.00239   90538.599320   32738.599320
   85    85     986236  33279.544327  58121.3851799111940    10.65    14.33          2      0.00200   90542.311259   32742.311260
   86    86     986353  33283.492284  58121.3852256051460     8.97    13.65          3     -0.00064   90546.259340   32746.259340
   87    87     986534  33289.599914  58121.3852962952960     9.91     9.91          1     -0.00156   90552.367160   32752.367160
   88    88     986776  33297.766006  58121.3853908102530     8.08    12.87          4     -0.00014   90600.533504   32760.533505
   89    89     986882  33301.342844  58121.3854322088450     7.37     9.33          2     -0.00083   90604.110454   32764.110455
   90    90     986899  33301.916557  58121.3854388490370     9.92     9.92          1      0.00106   90604.684184   32764.684185
   91    91     986965  33304.143482  58121.3854646236420     7.53    10.65          2     -0.00419   90606.911179   32766.911180
   92    92     986966  33304.177431  58121.3854650165630     6.52     7.36          2      0.00189   90606.945130   32766.945130
   93    93     986975  33304.481227  58121.3854685327230     9.80    12.18          2      0.00486   90607.248934   32767.248935
   94    94     987130  33309.711194  58121.3855290647420     6.45     6.45          1     -0.00553   90612.479064   32772.479065
   95    95     987158  33310.656095  58121.3855400011010    18.41    19.65          2     -0.00347   90613.423994   32773.423995
   96    96     987162  33310.791231  58121.3855415651710     9.23    14.55          3      0.00125   90613.559135   32773.559135
   97    97     987315  33315.954095  58121.3856013205500     5.97     9.75          3      0.00231   90618.722159   32778.722160
   98    98     987335  33316.628769  58121.3856091292670     6.65     8.92          2     -0.00378   90619.396854   32779.396855
   99    99     987404  33318.957152  58121.3856360781440    25.00    51.40          4     -0.00239   90621.725310   32781.725310
  100   100     987425  33319.665940  58121.3856442817150     7.86     9.97          2      0.00250   90622.434119   32782.434120
  101   101     987548  33323.816286  58121.3856923181180     7.94    14.07          4     -0.00236   90626.584595   32786.584595
  102   102     987628  33326.515842  58121.3857235629820    17.97    49.56          5     -0.00125   90629.284234   32789.284235
  103   103     987677  33328.169325  58121.3857427005180     5.53    12.96          4     -0.00042   90630.937769   32790.937770
  104   104     987846  33333.872093  58121.3858087047810    18.99    18.99          1      0.00061   90636.640715   32796.640715
  105   105     988068  33341.363420  58121.3858954099580     6.52    11.46          3      0.00544   90644.132275   32804.132275
  106   106     988088  33342.038029  58121.3859032179330     7.68    15.97          4     -0.00258   90644.806904   32804.806905
  107   107     988213  33346.256138  58121.3859520386300    14.39    16.51          2      0.00069   90649.025144   32809.025145
  108   108     988219  33346.458582  58121.3859543817340     7.69     8.99          2      0.00011   90649.227594   32809.227595
  109   109     988304  33349.326817  58121.3859875788930    23.62    52.27          5      0.00003   90652.095919   32812.095920
  110   110     988337  33350.440463  58121.3860004683260     5.93     5.93          1      0.00281   90653.209600   32813.209600
  111   111     988525  33356.784205  58121.3860738912640     9.93    13.25          2     -0.00092   90659.553540   32819.553540
  112   112     988689  33362.318238  58121.3861379425660    37.45    43.08          3     -0.00033   90705.087744   32825.087745
  113   113     988815  33366.569931  58121.3861871519740    18.98    24.07          3     -0.00181   90709.339569   32829.339570
  114   114     988924  33370.248052  58121.3862297228290     7.11    10.08          2     -0.00100   90713.017805   32833.017805
  115   115     988971  33371.833917  58121.3862480777470    27.13    29.80          2     -0.00403   90714.603719   32834.603720
  116   116     989053  33374.601201  58121.3862801064960    11.27    11.27          1      0.00419   90717.371090   32837.371090
  117   117     989225  33380.404871  58121.3863472785920    16.79    16.88          2     -0.00456   90723.174939   32843.174940
  118   118     989253  33381.349797  58121.3863582152450    23.78    24.86          2     -0.00178   90724.119895   32844.119895
  119   119     989707  33396.669690  58121.3865355288190    17.47    17.84          2      0.00194   90739.440264   32859.440265
  120   120     989911  33403.553236  58121.3866151994880    25.98    37.17          4     -0.00478   90746.324025   32866.324025
  121   121     989959  33405.173146  58121.3866339484540     6.00     7.28          2      0.00111   90747.943984   32867.943985
  122   122     990151  33411.652114  58121.3867089364990    12.14    15.18          2      0.00478   90754.423154   32874.423155
  123   123     990294  33416.477324  58121.3867647838460    12.03    14.36          2     -0.00053   90759.248514   32879.248515
  124   124     990299  33416.646129  58121.3867667376000    13.60    19.20          3      0.00197   90759.417325   32879.417325
  125   125     990493  33423.192330  58121.3868425038210     8.90     9.65          2     -0.00192   90805.963730   32885.963730
  126   126     990517  33424.002025  58121.3868518752900     6.43    19.02          5     -0.00667   90806.773450   32886.773450
  127   127     990519  33424.069733  58121.3868526589440     8.19    19.12          4     -0.00017   90806.841160   32886.841160
  128   128     990576  33425.993098  58121.3868749201150     9.88    12.09          2     -0.00139   90808.764584   32888.764585
  129   129     990631  33427.849035  58121.3868964008700     8.93    20.72          5     -0.00086   90810.620580   32890.620580
  130   130     990949  33438.579682  58121.3870205981700     5.97    10.90          3      0.00092   90821.351560   32901.351560
  131   131     991054  33442.122822  58121.3870616067330     6.81     8.16          2      0.00156   90824.894809   32904.894810
  132   132     991170  33446.036885  58121.3871069083900     6.37     7.78          2     -0.00553   90828.808994   32908.808995
  133   133     991372  33452.853343  58121.3871858025860    16.97    39.53          4     -0.00039   90835.625664   32915.625665
  134   134     991419  33454.439378  58121.3872041594620     9.34    12.37          3      0.00164   90837.211750   32917.211750
  135   135     991747  33465.507489  58121.3873322626050     7.23     9.56          2      0.00414   90848.280205   32928.280205
  136   136     991864  33469.455466  58121.3873779567740     5.61     7.95          2      0.00211   90852.228304   32932.228305
  137   137     991967  33472.931133  58121.3874181844100    11.66    23.28          4      0.00319   90855.704080   32935.704080
  138   138     992068  33476.339107  58121.3874576285570     6.69     9.69          3     -0.00181   90859.112159   32939.112160
  139   139     992237  33482.041890  58121.3875236329860    15.28    32.80          3     -0.00033   90904.815119   32944.815120
  140   140     992402  33487.609517  58121.3875880731140    14.79    20.11          3     -0.00419   90910.382919   32950.382920
  141   141     992404  33487.677200  58121.3875888564740     5.61     9.93          3      0.00158   90910.450604   32950.450605
  142   142     992583  33493.717357  58121.3876587657090    13.78    32.93          6      0.00111   90916.490949   32956.490950
  143   143     992671  33496.686924  58121.3876931356930     7.92     9.06          2      0.00400   90919.460610   32959.460610
  144   144     992674  33496.788086  58121.3876943065470     6.20     6.20          1      0.00192   90919.561775   32959.561775
  145   145     992933  33505.527744  58121.3877954600060     9.17    19.09          4      0.00092   90928.301704   32968.301705
  146   146     993023  33508.564580  58121.3878306085630     6.50     8.81          2     -0.00272   90931.338635   32971.338635
  147   147     993069  33510.116982  58121.3878485761790    21.27    39.57          6      0.00258   90932.891085   32972.891085
  148   148     993114  33511.635250  58121.3878661487230     9.22    14.80          4     -0.00369   90934.409399   32974.409400
  149   149     993276  33517.101969  58121.3879294209410     9.15     9.15          1      0.00208   90939.876290   32979.876290
  150   150     993461  33523.344700  58121.3880016747780    11.00    11.56          2      0.00486   90946.119214   32986.119215
  151   151     993474  33523.783082  58121.3880067486340    11.41    11.41          1     -0.00375   90946.557610   32986.557610
  152   152     993592  33527.765163  58121.3880528375420     7.14     9.40          2      0.00489   90950.539814   32990.539815
  153   153     993652  33529.789595  58121.3880762684670     6.99     9.08          2     -0.00125   90952.564310   32992.564310
  154   154     993670  33530.397191  58121.3880833008260    15.13    23.66          3      0.00481   90953.171925   32993.171925
  155   155     993806  33534.986263  58121.3881364150780    10.57    13.08          2      0.00156   90957.761140   32997.761140
  156   156     993917  33538.731757  58121.3881797657090    18.83    32.54          6     -0.00106   91001.506750   33001.506750
  157   157     993925  33539.001798  58121.3881828911870     6.22     7.86          2      0.00161   91001.776799   33001.776800
  158   158     993959  33540.149083  58121.3881961699460     5.68    10.98          3      0.00128   91002.924120   33002.924120
  159   159     994052  33543.287125  58121.3882324898690     7.54    10.34          3     -0.00311   91006.062259   33006.062260
  160   160     994155  33546.762967  58121.3882727195260    19.43    31.27          5      0.00317   91009.538209   33009.538210
  161   161     994252  33550.036045  58121.3883106023680    21.86    38.68          3      0.00056   91012.811390   33012.811390
  162   162     994259  33550.272263  58121.3883133363840    41.59    50.56          3      0.00083   91013.047615   33013.047615
  163   163     994407  33555.266292  58121.3883711376380     6.93     8.28          2     -0.00153   91018.041799   33018.041800
  164   164     994453  33556.818679  58121.3883891050750     7.59    10.09          2      0.00331   91019.594234   33019.594235
  165   165     995213  33582.463956  58121.3886859254140     7.86     9.04          2     -0.00111   91045.240310   33045.240310
