yyyy doy mn dd    MJD                 P0ms           Pdot0                  nu0            nudot0_15       tJPLms        SNthr 
2018 312 11 08  58430     33.7551884748710   4.200554E-013     29.6250752901128        -368659.58396      18.2360         0.00 
nGRPmax
    162
 nGRP  nORG  NSEQpulse        TDBsec                  MJD   peakSN    sumSN  Nsubpulse        phase       UThhmmss          UTsec
   24    24    1551987  52387.662792  58430.6063386897280    28.35    33.87          3      0.40836  142526.607060   51926.607060
   25    25    1552729  52412.708902  58430.6066285752580     5.37     6.16          2      0.40078  142551.651624   51951.651625
   26    26    1555466  52505.097086  58430.6076978829310     5.82     6.85          2      0.40589  142724.034110   52044.034110
   27    27    1558047  52592.219545  58430.6087062447360     5.03     5.03          1      0.41361  142851.151194   52131.151195
   28    28    1559682  52647.408889  58430.6093450102910     7.59     9.81          2      0.40100  142946.337135   52186.337135
   29    29    1559746  52649.569632  58430.6093700188930     5.31     6.58          2      0.41314  142948.497745   52188.497745
   30    30    1649144  55667.218192  58430.6442965068540     5.46     9.84          3      0.41867  152005.960599   55205.960600
   31    31    1651158  55735.200736  58430.6450833418500     6.53     6.53          1      0.40525  152113.938970   55273.938970
   32    32    1656944  55930.508755  58430.6473438513280     5.36     6.18          2      0.41603  152429.235000   55469.235000
   33    33    1657569  55951.605905  58430.6475880313090     5.14     7.66          2      0.42025  152450.330855   55490.330855
   34    34    1657715  55956.534023  58430.6476450697090     5.15     5.34          2      0.41600  152455.258670   55495.258670
   35    35    1659069  56002.238308  58430.6481740544900     5.72     8.51          2      0.40794  152540.960149   55540.960150
   36    36    1662613  56121.867059  58430.6495586465150     5.02     7.43          2      0.41622  152740.581559   55660.581560
   37    37    1664151  56173.782555  58430.6501595203200     5.22     6.93          2      0.41561  152832.493869   55712.493870
   38    38    1668419  56317.849473  58430.6518269614850     5.56     7.87          2      0.40594  153056.551950   55856.551950
   39    39    1669174  56343.334677  58430.6521219291260     5.26     7.55          2      0.40647  153122.035589   55882.035590
   40    40    1670367  56383.605067  58430.6525880216060     5.08     5.08          1      0.41897  153202.303509   55922.303510
   41    41    1670494  56387.891670  58430.6526376350720    20.68    21.06          2      0.40983  153206.589849   55926.589850
   42    42    1675416  56554.034494  58430.6545605844220     5.35     5.35          1      0.40006  153452.722484   56092.722485
   43    43    1681507  56759.637485  58430.6569402486660    10.59    12.16          2      0.39983  153818.312870   56298.312870
   44    44    1688653  57000.852579  58430.6597320900350     9.13    14.39          3      0.41011  154219.513180   56539.513180
   45    45    1688845  57007.333301  58430.6598070983940     7.04     7.04          1      0.40186  154225.993504   56545.993505
   46    46    1689222  57020.059466  58430.6599543919620     5.10     5.85          2      0.41517  154238.718889   56558.718890
   47    47    1693045  57149.105243  58430.6614479773440     5.34     9.04          2      0.40331  154447.756759   56687.756760
   48    48    1693085  57150.455195  58430.6614636017920     5.17     5.17          1      0.39572  154449.106630   56689.106630
   49    49    1694024  57182.151472  58430.6618304568580     5.03     5.03          1      0.39964  154520.800965   56720.800965
   50    50    1697302  57292.800925  58430.6631111218180     5.19     7.76          2      0.39569  154711.443639   56831.443640
   51    51    1701310  57428.092086  58430.6646769917310     5.49     6.49          2      0.40364  154926.726515   56966.726515
   52    52    1703846  57513.695133  58430.6656677677440     5.09     5.09          1      0.39853  155052.324319   57052.324320
   53    53    1706683  57609.458766  58430.6667761431300    11.90    11.90          1      0.40136  155228.082090   57148.082090
   54    54    1707247  57628.496306  58430.6669964850180     5.09     5.79          2      0.38950  155247.118464   57167.118465
   55    55    1709884  57717.509445  58430.6680267296900    45.92    49.42          2      0.40856  155416.126154   57256.126155
   56    56    1710683  57744.479626  58430.6683388845570     5.20     5.20          1      0.40161  155443.094684   57283.094685
   57    57    1714603  57876.799874  58430.6698703689090     5.64     5.64          1      0.39611  155655.406835   57415.406835
   58    58    1714910  57887.163003  58430.6699903125380     5.24     5.24          1      0.40436  155705.769330   57425.769330
   59    59    1715673  57912.918529  58430.6702884089090     5.06     5.41          2      0.41322  155731.523280   57451.523280
   60    60    1717299  57967.804102  58430.6709236585860     5.15     5.15          1      0.40128  155826.405494   57506.405495
   61    61    1718473  58007.433087  58430.6713823273980     9.31    32.64          7      0.41208  155906.032055   57546.032055
   62    62    1828120  61708.590522  58430.7142197977090     5.03     5.86          2      0.39811  170046.963730   61246.963730
   63    63    1830148  61777.046390  58430.7150121110020    19.97    20.73          2      0.40678  170155.415435   61315.415435
   64    64    1831949  61837.839331  58430.7157157330050    16.40    20.67          3      0.40086  170256.204680   61376.204680
   65    65    1837239  62016.404296  58430.7177824571260     5.01     5.59          2      0.39731  170554.758789   61554.758790
   66    66    1837598  62028.522462  58430.7179227136770    25.85    26.70          2      0.39861  170606.876219   61566.876220
   67    67    1847582  62365.535120  58430.7218233231490     5.34     5.58          2      0.41625  171143.868399   61903.868400
   68    68    1848838  62407.931230  58430.7223140188670    28.59    37.05          4      0.40322  171226.261935   61946.261935
   69    69    1851921  62511.998816  58430.7235185048060     5.30     5.49          2      0.41089  171410.323199   62050.323200
   70    70    1854979  62615.222079  58430.7247132185090    12.87    15.52          2      0.40547  171553.540195   62153.540195
   71    71    1856168  62655.356766  58430.7251777403520     9.02    11.54          2      0.39767  171633.672444   62193.672445
   72    72    1860094  62787.879881  58430.7267115726980     5.36     5.36          1      0.40186  171846.187514   62326.187515
   73    73    1860117  62788.656374  58430.7267205598850    11.72    12.75          2      0.40547  171846.963960   62326.963960
   74    74    1862053  62854.006365  58430.7274769255300    14.75    30.38          4      0.40239  171952.309984   62392.309985
   75    75    1863440  62900.825007  58430.7280188079490     8.43     8.43          1      0.40708  172039.125784   62439.125785
