yyyy doy mn dd    MJD                 P0ms           Pdot0                  nu0            nudot0_15       tJPLms        SNthr 
2018 312 11 08  58430     33.7551884748710   4.200554E-013     29.6250752901128        -368659.58396      18.2360         0.00 
nGRPmax
   1756
 nGRP  nORG  NSEQpulse        TDBsec                  MJD   peakSN    sumSN  Nsubpulse        phase       UThhmmss          UTsec
   58    58    1504017  50768.411619  58430.5875973566980     7.17    11.50          3      0.00122  135827.455885   50307.455885
   59    59    1504649  50789.744753  58430.5878442679810     6.80     6.80          1     -0.00347  135848.787700   50328.787700
   60    60    1504806  50795.044555  58430.5879056082820    16.43    23.71          3      0.00347  135854.087175   50334.087175
   61    61    1505154  50806.791387  58430.5880415669760    13.89    17.73          2      0.00403  135905.833279   50345.833280
   62    62    1505311  50812.090874  58430.5881029036290    16.20    18.42          3      0.00164  135911.132440   50351.132440
   63    63    1505409  50815.398809  58430.5881411899140     6.44     6.44          1     -0.00061  135914.440170   50354.440170
   64    64    1505870  50830.960020  58430.5883212965250    14.08    16.25          2      0.00117  135930.000419   50370.000420
   65    65    1505971  50834.369241  58430.5883607551100    17.44    19.74          3     -0.00047  135933.409429   50373.409430
   66    66    1506338  50846.757402  58430.5885041366020     5.59     8.01          2     -0.00053  135945.796824   50385.796825
   67    67    1506466  50851.077974  58430.5885541432190     9.97    14.06          3     -0.00333  135950.117129   50390.117130
   68    68    1506511  50852.597168  58430.5885717264770     5.38     6.06          2      0.00289  135951.636229   50391.636230
   69    69    1506948  50867.347700  58430.5887424502270     5.24     7.55          2     -0.01178  140006.385849   50406.385850
   70    70    1507062  50871.196283  58430.5887869940220    12.92    15.84          2      0.00269  140010.234194   50410.234195
   71    71    1507525  50886.824814  58430.5889678797950     7.27    12.43          3     -0.00119  140025.861759   50425.861760
   72    72    1507778  50895.365011  58430.5890667246590     9.47    12.30          2      0.00267  140034.401429   50434.401430
   73    73    1508096  50906.099160  58430.5891909624960     5.62     6.62          2      0.00242  140045.134915   50445.134915
   74    74    1508296  50912.850147  58430.5892690989180     5.42     6.41          2      0.00081  140051.885484   50451.885485
   75    75    1508435  50917.542042  58430.5893234032640     7.66     7.66          1     -0.00156  140056.577089   50456.577090
   76    76    1508483  50919.162292  58430.5893421561600     5.62     6.26          2     -0.00156  140058.197240   50458.197240
   77    77    1508831  50930.909113  58430.5894781147390    10.96    10.96          1     -0.00131  140109.943335   50469.943335
   78    78    1508858  50931.820620  58430.5894886645890     7.42    11.40          3      0.00211  140110.854785   50470.854785
   79    79    1508972  50935.668497  58430.5895332001920     5.35     8.38          3     -0.00428  140114.702425   50474.702425
   80    80    1509057  50938.537890  58430.5895664107650     9.26    11.64          2      0.00164  140117.571640   50477.571640
   81    81    1509663  50958.993344  58430.5898031636990     5.46     8.52          2     -0.00439  140138.025829   50498.025830
   82    82    1509720  50960.917503  58430.5898254340610     9.13     9.94          2     -0.00106  140139.949869   50499.949870
   83    83    1509837  50964.867097  58430.5898711469570     5.35     5.35          1      0.00589  140143.899219   50503.899220
   84    84    1509852  50965.373293  58430.5898770057090     5.16     5.16          1      0.00197  140144.405384   50504.405385
   85    85    1510357  50982.419482  58430.5900742995580     5.22     5.72          2     -0.00372  140201.450519   50521.450520
   86    86    1510585  50990.115653  58430.5901633756160     7.49     7.49          1     -0.00425  140209.146215   50529.146215
   87    87    1510690  50993.659922  58430.5902043972480     9.57    12.08          2     -0.00506  140212.690264   50532.690265
   88    88    1510892  51000.478743  58430.5902833187840     7.08    12.18          3      0.00289  140219.508665   50539.508665
   89    89    1510949  51002.402662  58430.5903055863680     5.77     8.03          2     -0.00089  140221.432464   50541.432465
   90    90    1511841  51032.512428  58430.5906540790270     5.82     8.26          2      0.00261  140251.540370   50571.540370
   91    91    1512017  51038.453185  58430.5907228377860     8.75    10.62          2     -0.00211  140257.480759   50577.480760
   92    92    1513026  51072.512155  58430.5911170388220     5.74     5.74          1     -0.00322  140331.537624   50611.537625
   93    93    1513151  51076.731595  58430.5911658749440     6.68    11.34          3     -0.00206  140335.756804   50615.756805
   94    94    1513207  51078.622002  58430.5911877546500    19.76    21.13          2      0.00136  140337.647095   50617.647095
   95    95    1513366  51083.989194  58430.5912498749310     5.95     5.95          1      0.00472  140343.013955   50623.013955
   96    96    1513460  51087.162105  58430.5912865984380     6.80    19.21          5      0.00239  140346.186670   50626.186670
   97    97    1513519  51089.153683  58430.5913096491010    11.83    13.34          2      0.00300  140348.178124   50628.178125
   98    98    1513698  51095.195816  58430.5913795811970     5.19     8.05          3      0.00156  140354.219884   50634.219885
   99    99    1513873  51101.102951  58430.5914479508220     5.30     6.07          2      0.00075  140400.126655   50640.126655
  100   100    1514160  51110.790675  58430.5915600772610    12.33    15.70          2      0.00011  140409.813779   50649.813780
  101   101    1514315  51116.022658  58430.5916206326140    17.12    21.98          3     -0.00208  140415.045440   50655.045440
  102   102    1514406  51119.094623  58430.5916561877630     8.07     8.07          1      0.00506  140418.117214   50658.117215
  103   103    1514515  51122.773650  58430.5916987690880     5.98     8.89          2     -0.00356  140421.796014   50661.796015
  104   104    1514546  51123.820170  58430.5917108816000     7.95    10.45          2     -0.00036  140422.842470   50662.842470
  105   105    1514548  51123.887724  58430.5917116634750    11.01    11.01          1      0.00094  140422.910020   50662.910020
  106   106    1514605  51125.811748  58430.5917339322750     5.97     7.90          2      0.00025  140424.833924   50664.833925
  107   107    1515352  51151.026711  58430.5920257721220     5.21     8.04          2     -0.00506  140450.047330   50690.047330
  108   108    1515360  51151.296938  58430.5920288997500    12.93    15.49          2      0.00044  140450.317539   50690.317540
  109   109    1515701  51162.807464  58430.5921621234180     5.82    10.89          3      0.00042  140501.827355   50701.827355
  110   110    1515738  51164.056291  58430.5921765774460     5.71     5.71          1     -0.00300  140503.076105   50703.076105
  111   111    1515756  51164.663874  58430.5921836096510     6.37     6.37          1     -0.00333  140503.683649   50703.683650
  112   112    1516286  51182.554189  58430.5923906734850     7.85    13.85          3     -0.00172  140521.572860   50721.572860
  113   113    1516429  51187.381317  58430.5924465430270     6.20    12.43          3      0.00222  140526.399689   50726.399690
  114   114    1516517  51190.351696  58430.5924809224060    10.03    15.78          3     -0.00014  140529.369885   50729.369885
  115   115    1516733  51197.642871  58430.5925653110140     5.69     6.45          2      0.00133  140536.660609   50736.660610
  116   116    1516961  51205.339027  58430.5926543868800     6.15     9.11          2      0.00039  140544.356290   50744.356290
  117   117    1517002  51206.722917  58430.5926704041340     5.23     5.23          1     -0.00178  140545.740095   50745.740095
  118   118    1517162  51212.123901  58430.5927329155200     5.96     5.96          1      0.00267  140551.140744   50751.140745
  119   119    1517651  51228.630211  58430.5929239607680     5.09     5.09          1      0.00303  140607.646034   50767.646035
  120   120    1518345  51252.056298  58430.5931950960380     7.00     9.35          2      0.00217  140631.070675   50791.070675
  121   121    1518409  51254.216692  58430.5932201005950    13.21    13.21          1      0.00394  140633.230934   50793.230935
  122   122    1518812  51267.819977  58430.5933775460350     7.87     7.87          1      0.00206  140646.833379   50806.833380
  123   123    1519068  51276.461296  58430.5934775612930    13.73    18.04          3      0.00161  140655.474164   50815.474165
  124   124    1519650  51296.106855  58430.5937049404540     5.87     8.43          2      0.00239  140715.118510   50835.118510
  125   125    1519697  51297.693208  58430.5937233010180    48.32    52.43          2     -0.00181  140716.704765   50836.704765
  126   126    1519894  51304.343079  58430.5938002671230    10.38    10.38          1      0.00100  140723.354225   50843.354225
  127   127    1520719  51332.191044  58430.5941225815300    10.81    10.81          1     -0.00147  140751.200470   50871.200470
  128   128    1521334  51352.950701  58430.5943628553340     7.51    12.18          3      0.00456  140811.958845   50891.958845
  129   129    1521421  51355.887298  58430.5943968437250     5.90    11.64          3      0.00139  140814.895259   50894.895260
  130   130    1521799  51368.646616  58430.5945445210110     6.12     8.72          2     -0.00308  140827.653789   50907.653790
  131   131    1521886  51371.583292  58430.5945785103230     5.05    14.86          4     -0.00389  140830.590284   50910.590285
  132   132    1521917  51372.629587  58430.5945906202240     8.45     9.46          2     -0.00736  140831.636514   50911.636515
  133   133    1521925  51372.899839  58430.5945937481340     5.31     5.31          1     -0.00114  140831.906750   50911.906750
  134   134    1522364  51387.718629  58430.5947652619010     5.49     9.18          3      0.00636  140846.724625   50926.724625
  135   135    1522443  51390.385149  58430.5947961244030     5.10     7.46          2      0.00217  140849.390979   50929.390980
  136   136    1522567  51394.570627  58430.5948445674500    51.42    57.73          3     -0.00281  140853.576200   50933.576200
  137   137    1522807  51402.672103  58430.5949383345280     5.63     7.76          2      0.00386  140901.677174   50941.677175
  138   138    1523160  51414.587629  58430.5950762457090     7.30     7.30          1      0.00200  140913.591964   50953.591965
  139   139    1523834  51437.338384  58430.5953395646340     5.05     7.19          2     -0.00558  140936.341314   50976.341315
  140   140    1524109  51446.621317  58430.5954470059780     7.55     7.55          1      0.00183  140945.623675   50985.623675
  141   141    1524213  51450.131844  58430.5954876370820     5.83    13.75          4      0.00139  140949.133985   50989.133985
  142   142    1524374  51455.566325  58430.5955505361660    30.03    35.06          3     -0.00181  140954.568129   50994.568130
  143   143    1524722  51467.313636  58430.5956865004160     5.09     7.13          2      0.01292  141006.314715   51006.314715
  144   144    1524966  51475.549514  58430.5957818230780     7.19     7.19          1      0.00128  141014.550085   51014.550085
  145   145    1525026  51477.574854  58430.5958052645120    31.31    34.72          2      0.00211  141016.575299   51016.575300
  146   146    1525080  51479.397507  58430.5958263600380     5.32    11.43          3     -0.00172  141018.397839   51018.397840
  147   147    1525084  51479.532625  58430.5958279239040    16.40    16.40          1      0.00117  141018.532950   51018.532950
  148   148    1525574  51496.072537  58430.5960193580670    27.59    39.69          3     -0.00300  141035.071839   51035.071840
  149   149    1525717  51500.899700  58430.5960752280060     9.93    13.06          2      0.00197  141039.898704   51039.898705
  150   150    1526456  51525.844881  58430.5963639453820    12.83    15.92          3      0.00436  141104.842344   51064.842345
  151   151    1526904  51540.967105  58430.5965389711230     5.46     9.73          3      0.00108  141119.963635   51079.963635
  152   152    1527035  51545.389073  58430.5965901513090     5.13     5.13          1      0.00214  141124.385329   51084.385330
  153   153    1527068  51546.502891  58430.5966030427260     8.30     8.30          1     -0.00092  141125.499080   51085.499080
  154   154    1527134  51548.730834  58430.5966288290940     8.24     8.24          1      0.00200  141127.726884   51087.726885
  155   155    1527776  51570.401582  58430.5968796479490     5.02     5.21          2     -0.00086  141149.396294   51109.396295
  156   156    1528523  51595.616915  58430.5971714920700     6.06    10.80          3      0.00478  141214.610070   51134.610070
