yyyy doy mn dd    MJD                 P0ms           Pdot0                  nu0            nudot0_15       tJPLms        SNthr 
2017 221 08 09  57974     33.7386455638600   4.196976E-013     29.6396012136058        -368706.86500       5.4986        50.00 
nGRPmax
    222
 nGRP  nORG  NSEQpulse        TDBsec                  MJD   peakSN    sumSN  Nsubpulse        phase       UThhmmss          UTsec
   57  1808    1986489  67021.481666  57974.7757115933570   141.92   170.22          4     -0.00158  184053.741060   67253.741060
   58  1820    1987632  67060.045021  57974.7761579284860    66.05    96.30          4     -0.00022  184132.301334   67292.301335
   59  1859    1991618  67194.527498  57974.7777144386300    67.17    97.59          5      0.00358  184346.773069   67426.773070
   60  1874    1993051  67242.874735  57974.7782740131330    65.87    83.20          4     -0.00494  184435.116445   67475.116445
   61  1916    1997542  67394.395122  57974.7800277213180    75.38    93.77          3     -0.00472  184706.624729   67626.624730
   62  1957    2001908  67541.698246  57974.7817326185860    83.17   114.85          8     -0.00250  184933.916089   67773.916090
   63  1962    2002365  67557.116783  57974.7819110738820    58.53    76.31          4     -0.00378  184949.333394   67789.333395
   64  1996    2006315  67690.384646  57974.7834535260030    50.20   110.79          7     -0.00078  185202.590614   67922.590615
   65  2003    2007109  67717.173250  57974.7837635792770    50.36    79.45          6      0.00228  185229.377080   67949.377080
   66  2009    2007851  67742.207290  57974.7840533251200    72.36    80.26          3      0.00058  185254.409119   67974.409120
   67  2015    2008657  67769.400666  57974.7843680632700   162.30   200.26          5      0.00058  185321.600325   68001.600325
   68  2017    2008835  67775.406096  57974.7844375705470   265.66   311.22          4     -0.00103  185327.605274   68007.605275
   69  2048    2011382  67861.338553  57974.7854321591810    58.90    72.86          3      0.00075  185453.530870   68093.530870
   70  2208    2029995  68489.316486  57974.7927004222980    50.48    60.38          4      0.00047  190521.458660   68721.458660
   71  2222    2032457  68572.380968  57974.7936618167550    81.00    94.68          3     -0.00353  190644.516510   68804.516510
   72  2308    2043953  68960.240796  57974.7981509351420   128.49   187.49          4     -0.00289  191312.345375   69192.345375
   73  2351    2046967  69061.929308  57974.7993278855040    80.04   100.29          4      0.00164  191454.025769   69294.025770
   74  2359    2047830  69091.045602  57974.7996648796540    63.75    71.10          3     -0.00375  191523.139739   69323.139740
   75  2373    2050177  69170.230308  57974.8005813693060    92.23   102.91          3     -0.00283  191642.318125   69402.318125
   76  2379    2051099  69201.337516  57974.8009414064380   132.95   158.84          4      0.00175  191713.422850   69433.422850
   77  2452    2059561  69486.833972  57974.8042457635710   107.18   121.40          3     -0.00444  192158.896519   69718.896520
   78  2465    2060747  69526.848185  57974.8047088910340    63.46   121.74          5     -0.00014  192238.907540   69758.907540
   79  2471    2061317  69546.079215  57974.8049314723970    79.11    92.60          3     -0.00075  192258.137035   69778.137035
   80  2517    2065727  69694.866583  57974.8066535484160   135.34   147.04          3     -0.00614  192526.912530   69926.912530
   81  2578    2073630  69961.503509  57974.8097396239490    60.85    72.33          3     -0.00083  192953.528179   70193.528180
   82  2579    2073919  69971.253937  57974.8098524761220   201.46   228.72          4     -0.00228  193003.277830   70203.277830
   83  2597    2075942  70039.507193  57974.8106424443650    82.55    99.85          4     -0.00478  193111.525640   70271.525640
   84  2598    2076019  70042.105160  57974.8106725134340   105.17   138.99          3     -0.00211  193114.123399   70274.123400
   85  2611    2077468  70090.992506  57974.8112383391870    53.04    61.60          2     -0.00211  193203.006844   70323.006845
   86  2773    2094254  70657.329995  57974.8177931712380   138.11   160.11          4      0.00050  194129.299155   70889.299155
   87  2824    2098754  70809.153979  57974.8195503932670   409.42   490.07          4     -0.00094  194401.111030   71041.111030
   88  2964    2112547  71274.511499  57974.8249364756860    72.67    85.78          3     -0.00181  195146.431440   71506.431440
   89  2989    2115270  71366.381919  57974.8259997907330   355.63   425.64          4     -0.00178  195318.294534   71598.294535
   90  2990    2115298  71367.326790  57974.8260107267330    71.08   140.74          7      0.00394  195319.239329   71599.239330
   91  3017    2118112  71462.267264  57974.8271095748100    56.38   116.23          8     -0.00092  195454.172235   71694.172235
   92  3028    2119390  71505.385457  57974.8276086279680    67.17    83.37          4      0.00417  195537.286989   71737.286990
   93  3080    2124781  71687.270502  57974.8297137789570    74.77    87.84          4     -0.00061  195839.157535   71919.157535
   94  3110    2129077  71832.211731  57974.8313913394820   168.69   191.31          4     -0.00406  200104.087209   72064.087210
   95  3111    2129144  71834.472411  57974.8314175047550    80.41    91.78          4      0.00156  200106.347710   72066.347710
   96  3216    2139166  72172.601406  57974.8353310347900   132.01   220.83          5      0.00097  200644.449754   72404.449755
   97  3344    2154152  72678.209159  57974.8411829763840   107.51   141.88          4     -0.00019  201510.017219   72910.017220
   98  3389    2158302  72818.224618  57974.8428035256700    83.18    95.36          3     -0.00172  201730.021525   73050.021525
   99  3394    2158798  72834.959217  57974.8429972131580   133.02   168.99          5      0.00478  201746.754790   73066.754790
  100  3413    2161043  72910.702300  57974.8438738692100    53.42    80.86          4     -0.00244  201902.491840   73142.491840
  101  3431    2163676  72999.536466  57974.8449020424320    73.62    81.31          3      0.00442  202031.318929   73231.318930
  102  3469    2168692  73168.769566  57974.8468607588610    57.37    89.38          5      0.00144  202320.538549   73400.538550
  103  3506    2172733  73305.107669  57974.8484387461760    91.25   114.74          4      0.00458  202536.865795   73536.865795
  104  3530    2175174  73387.463512  57974.8493919388030   117.36   204.43          7     -0.00311  202659.215079   73619.215080
  105  3563    2179603  73536.892286  57974.8511214384900    76.35    92.38          4      0.00194  202928.631955   73768.631955
  106  3577    2181082  73586.791679  57974.8516989777660    74.98    86.59          3     -0.00131  203018.527375   73818.527375
  107  3622    2187265  73795.398003  57974.8541134028160   446.32   504.07          4      0.00144  203347.117089   74027.117090
  108  3626    2187981  73819.554686  57974.8543929940480    70.79    76.45          2     -0.00478  203411.271850   74051.271850
  109  3651    2189957  73886.222498  57974.8551646122500    65.68   101.65          6      0.00064  203517.934355   74117.934355
  110  3695    2195253  74064.902456  57974.8572326673150    63.52    84.17          3     -0.00139  203816.600090   74296.600090
  111  3753    2201886  74288.691237  57974.8598228152450    50.18    57.38          3      0.00272  204200.371060   74520.371060
  112  3754    2202062  74294.629190  57974.8598915415550    56.67    93.86          6      0.00111  204206.308539   74526.308540
  113  3845    2210832  74590.517295  57974.8633161724030   141.51   162.19          3     -0.00156  204702.173099   74822.173100
  114  3854    2211387  74609.242215  57974.8635328960130   216.07   243.74          4     -0.00292  204720.896529   74840.896530
  115  3865    2212255  74638.527520  57974.8638718462980    79.59    90.94          3      0.00089  204750.179504   74870.179505
  116  3896    2216557  74783.671308  57974.8655517512580   218.42   306.50          5      0.00086  205015.311744   75015.311745
  117  3904    2217256  74807.254414  57974.8658247038720   126.33   195.63          4     -0.00594  205038.892974   75038.892975
  118  3909    2217716  74822.774303  57974.8660043322110   132.75   156.98          4     -0.00286  205054.411630   75054.411630
  119  3910    2217858  74827.565305  57974.8660597836160    52.10    64.43          4      0.00036  205059.202250   75059.202250
  120  3927    2220424  74914.138751  57974.8670617910910    64.24    75.79          3      0.00042  205225.768809   75145.768810
  121  3930    2220695  74923.281924  57974.8671676148610    51.94    61.71          3      0.00000  205234.911254   75154.911255
  122  3956    2222936  74998.890203  57974.8680427106820    77.92   130.76          5     -0.00269  205350.513519   75230.513520
  123  3975    2225015  75069.032907  57974.8688545475330    74.24    89.89          3     -0.00300  205500.650645   75300.650645
  124  3982    2225689  75091.772846  57974.8691177412740    63.50   100.91          4     -0.00092  205523.388774   75323.388775
  125  4020    2228860  75198.758235  57974.8703559980930   127.48   250.77          5      0.00036  205710.365655   75430.365655
  126  4023    2229091  75206.551685  57974.8704462000640    69.06    76.93          3     -0.00511  205718.158485   75438.158485
  127  4082    2236068  75441.946539  57974.8731706775420    58.42    68.95          3     -0.00186  210113.534620   75673.534620
  128  4086    2236589  75459.524417  57974.8733741251970    99.04   114.24          3     -0.00108  210131.111099   75691.111100
  129  4093    2237289  75483.141604  57974.8736474722690   105.15   122.00          3      0.00231  210154.726410   75714.726410
  130  4160    2244114  75713.408012  57974.8763125927300    88.16    98.27          3      0.00039  210544.974510   75944.974510
  131  4218    2249845  75906.764463  57974.8785505146110    70.16    76.43          2      0.00306  210858.315589   76138.315590
  132  4266    2254472  76062.873281  57974.8803573296380    65.41    70.78          2      0.00181  211134.411999   76294.412000
  133  4332    2261284  76292.701045  57974.8830173732100   138.27   153.96          3     -0.00136  211524.221499   76524.221500
  134  4395    2266972  76484.606693  57974.8852385033860    54.89    59.42          2      0.00011  211836.111900   76716.111900
  135  4409    2268644  76541.017585  57974.8858914072320   101.61   132.21          5     -0.00514  211932.518309   76772.518310
  136  4488    2277428  76837.378242  57974.8893215074300    77.82    90.36          3     -0.00200  212428.855425   77068.855425
  137  4527    2281933  76989.371009  57974.8910806829700    54.51    59.75          3     -0.00114  212700.836120   77220.836120
  138  4544    2283539  77043.555192  57974.8917078147200    64.49   125.75          6     -0.00511  212755.016000   77275.016000
  139  4566    2286388  77139.676860  57974.8928203340290    63.01    71.84          3     -0.00008  212931.130034   77371.130035
  140  4583    2288640  77215.656314  57974.8936997258620    64.17    83.75          3     -0.00156  213047.103455   77447.103455
  141  4588    2289535  77245.852616  57974.8940492200960    52.93    90.62          5      0.00411  213117.297359   77477.297360
  142  4620    2292274  77338.262783  57974.8951187822080   121.77   141.03          4      0.00197  213249.700190   77569.700190
  143  4643    2294451  77411.711900  57974.8959688877310    52.20    59.35          3      0.00225  213403.143475   77643.143475
  144  4667    2297053  77499.499779  57974.8969849511420    79.73    98.59          3     -0.00253  213530.924385   77730.924385
  145  4712    2301773  77658.746280  57974.8988280819460   143.10   166.01          4     -0.00431  213810.158244   77890.158245
  146  4732    2304013  77734.321098  57974.8997027904900   102.05   116.85          3      0.00100  213925.727064   77965.727065
  147  4756    2306137  77805.981951  57974.9005321985150   112.51   133.72          3     -0.00178  214037.382230   78037.382230
  148  4845    2315224  78112.565184  57974.9040806155520    96.43   114.11          3     -0.00597  214543.941135   78343.941135
  149  4863    2317106  78176.061612  57974.9048155279100    75.81    81.68          3      0.00100  214647.432524   78407.432525
  150  4865    2317274  78181.729732  57974.9048811311620   257.60   339.84          6      0.00164  214653.100195   78413.100195
  151  4871    2317884  78202.310225  57974.9051193313020    72.78    83.42          3     -0.00136  214713.679055   78433.679055
  152  4949    2326751  78501.471176  57974.9085818423170    52.05    75.98          4      0.00131  215212.816275   78732.816275
  153  5037    2334461  78761.596311  57974.9115925499010    61.92    72.26          3     -0.00081  215632.920780   78992.920780
  154  5066    2337367  78859.641086  57974.9127273273860    75.61    81.28          3      0.00436  215810.957779   79090.957780
  155  5099    2341147  78987.172958  57974.9142033907200   138.87   206.97          5     -0.00553  220018.479540   79218.479540
  156  5113    2342159  79021.316760  57974.9145985736060    51.29    55.11          2      0.00197  220052.620634   79252.620635
  157  5167    2346544  79169.260678  57974.9163108874750    53.86    66.45          3     -0.00358  220320.552825   79400.552825
  158  5203    2349097  79255.395786  57974.9173078215940   120.74   136.16          4      0.00414  220446.681104   79486.681105
  159  5215    2350227  79293.520308  57974.9177490776450    54.62    60.67          2     -0.00136  220524.802605   79524.802605
  160  5238    2353297  79397.098082  57974.9189478944640    82.07    99.68          3     -0.00031  220708.372170   79628.372170
  161  5247    2353634  79408.467978  57974.9190794904830    70.03    86.36          3     -0.00161  220719.741164   79639.741165
  162  5264    2355295  79464.507994  57974.9197281017860    57.79    67.69          3      0.00067  220815.776740   79695.776740
  163  5269    2355523  79472.200299  57974.9198171330940   153.78   203.00          6     -0.00289  220823.468435   79703.468435
  164  5323    2361778  79683.235812  57974.9222596737540    96.07   131.88          7     -0.00064  221154.487225   79914.487225
  165  5355    2363473  79740.422803  57974.9229215602180    79.84    90.46          3     -0.00272  221251.669685   79971.669685
  166  5367    2364946  79790.120060  57974.9234967599490    76.70    91.85          4      0.00272  221341.363005   80021.363005
  167  5404    2369251  79935.364807  57974.9251778334210    54.03    81.31          4     -0.00519  221606.596244   80166.596245
  168  5410    2369729  79951.491994  57974.9253644906750   107.49   128.36          4     -0.00225  221622.722154   80182.722155
  169  5428    2370974  79993.496827  57974.9258506577150    80.10    87.69          3      0.00314  221704.723660   80224.723660
  170  5494    2378126  80234.795563  57974.9286434671620    69.21    79.22          3     -0.00581  222106.003284   80466.003285
  171  5518    2380227  80305.680917  57974.9294638995070    72.39    83.58          3      0.00569  222216.883025   80536.883025
  172  5579    2387315  80544.820407  57974.9322317176700    56.24    72.70          4     -0.00211  222616.003580   80776.003580
  173  5587    2388402  80581.494386  57974.9326561850240   166.90   253.17          5     -0.00125  222652.674654   80812.674655
  174  5600    2389711  80625.658387  57974.9331673424380   207.65   246.75          4      0.00097  222736.835160   80856.835160
  175  5644    2394350  80782.172052  57974.9349788432000    94.54   107.63          3     -0.00122  223013.336435   81013.336435
  176  5670    2396183  80844.015187  57974.9356946202110    52.63    57.57          2      0.00281  223115.174675   81075.174675
  177  5744    2406184  81181.435551  57974.9395999485060    70.42    76.28          3     -0.00228  223652.568335   81412.568335
  178  5761    2408838  81270.978085  57974.9406363204220    59.28    69.86          3      0.00006  223822.103784   81502.103785
  179  5796    2412861  81406.708769  57974.9422072774140   134.89   207.01          4     -0.00050  224037.823730   81637.823730
  180  5845    2418185  81586.333583  57974.9442862683260   131.33   145.10          3      0.00178  224337.434334   81817.434335
  181  5852    2419010  81614.168035  57974.9446084263300    67.68    74.48          3      0.00300  224405.266585   81845.266585
  182  5857    2419434  81628.473121  57974.9447739944580    89.64   106.93          3     -0.00022  224419.570540   81859.570540
  183  5863    2420266  81656.543676  57974.9450988851330    56.61    74.97          4     -0.00117  224447.638875   81887.638875
  184  5910    2425181  81822.369341  57974.9470181636740    61.51    72.73          3      0.00042  224733.451425   82053.451425
  185  5943    2427681  81906.716086  57974.9479943991420    75.58    92.06          5      0.00192  224857.791500   82137.791500
  186  5951    2428987  81950.778775  57974.9485043839620    64.33    79.54          3      0.00094  224941.850705   82181.850705
  187  5956    2429564  81970.245964  57974.9487296986500    73.25    84.69          3      0.00008  225001.316355   82201.316355
