yyyy doy mn dd    MJD                 P0ms           Pdot0                  nu0            nudot0_15       tJPLms        SNthr 
2018 313 11 09  58431     33.7552247881230   4.200554E-013     29.6250434199999        -368658.79077      13.8631         5.00 
nGRPmax
    152
 nGRP  nORG  NSEQpulse        TDBsec                  MJD   peakSN    sumSN  Nsubpulse        phase       UThhmmss          UTsec
   59    59    1772583  59833.987706  58431.6925230058500     5.27     5.27          1      0.41344  162927.278559   59367.278560
   60    60    1780622  60105.345893  58431.6956637256190    20.39    26.97          4      0.40553  163358.620580   59638.620580
   61    61    1781510  60135.320524  58431.6960106542080     5.17     5.83          2      0.40431  163428.593424   59668.593425
   62    62    1784731  60244.045809  58431.6972690487170     5.31     5.31          1      0.39319  163617.312234   59777.312235
   63    63    1786255  60295.488892  58431.6978644547710     5.16     7.13          2      0.39564  163708.752254   59828.752255
   64    64    1803722  60885.092439  58431.7046885698940     5.17     7.50          2      0.41342  164658.320709   60418.320710
   65    65    1806722  60986.358247  58431.7058606278530     5.40     5.40          1      0.41483  164839.580495   60519.580495
   66    66    1807422  61009.986318  58431.7061341009020     5.03     5.03          1      0.39719  164903.207159   60543.207160
   67    67    1898333  64078.710369  58431.7416517403780     5.35     9.13          3      0.40939  174011.749174   63611.749175
   68    68    1900870  64164.347575  58431.7426429117440     5.65     8.67          2      0.41333  174137.381314   63697.381315
   69    69    1901432  64183.317662  58431.7428624729340     5.02     5.20          2      0.40281  174156.350279   63716.350280
   70    70    1904752  64295.385096  58431.7441595497220    11.12    12.57          2      0.40247  174348.411084   63828.411085
   71    71    1905364  64316.043333  58431.7443986496900     6.81     6.81          1      0.40342  174409.068099   63849.068100
   72    72    1908468  64420.819299  58431.7456113344770     5.18     5.36          2      0.39350  174553.837870   63953.837870
   73    73    1910327  64483.570519  58431.7463376217470     7.42     7.42          1      0.39961  174656.585379   64016.585380
   74    74    1918803  64769.680101  58431.7496490752510     8.76     8.76          1      0.40161  175142.678050   64302.678050
   75    75    1921503  64860.818947  58431.7507039229950     5.09     7.12          2      0.39169  175313.811509   64393.811510
   76    76    1922577  64897.072779  58431.7511235275390     5.48     7.61          2      0.41217  175350.063199   64430.063200
   77    77    1929089  65116.886749  58431.7536676707070     5.21     5.21          1      0.40503  175729.864184   64649.864185
   78    78    1933735  65273.713506  58431.7554827952130     7.91     7.91          1      0.40100  180006.681680   64806.681680
   79    79    1933818  65276.515511  58431.7555152258180     5.89     9.16          3      0.41047  180009.483520   64809.483520
   80    80    1934874  65312.160911  58431.7559277883140     5.10     8.73          3      0.40586  180045.126815   64845.126815
   81    81    1935307  65326.776684  58431.7560969523580     5.62     7.68          2      0.39842  180059.741724   64859.741725
   82    82    1935715  65340.549152  58431.7562563559300     6.00     8.05          3      0.40833  180113.513379   64873.513380
   83    83    1936828  65378.118480  58431.7566911861120    11.31    11.31          1      0.40039  180151.080490   64911.080490
   84    84    1938468  65433.477238  58431.7573319124740     8.01     8.01          1      0.40467  180246.435980   64966.435980
   85    85    1940676  65508.009098  58431.7581945497470     5.41     6.03          2      0.41244  180400.963439   65040.963440
   86    86    1943281  65595.941367  58431.7592122843390    26.11    28.37          2      0.40764  180528.890520   65128.890520
   87    87    1944182  65626.354552  58431.7595642887940     8.55     8.55          1      0.39881  180559.301910   65159.301910
   88    88    1947106  65725.054871  58431.7607066536060    11.90    11.90          1      0.39739  180737.996404   65257.996405
   89    89    1947873  65750.945614  58431.7610063149820     5.07     9.88          3      0.41142  180803.885620   65283.885620
   90    90    1949866  65818.219928  58431.7617849528700     5.22     8.27          3      0.41397  180911.155964   65351.155965
   91    91    1955235  65999.451748  58431.7638825433860     6.57    10.88          3      0.41011  181212.377095   65532.377095
   92    92    1956381  66038.135544  58431.7643302724990     5.03     5.73          2      0.41858  181251.058609   65571.058610
   93    93    1960688  66183.518917  58431.7660129504260     6.88     9.47          2      0.40378  181516.433409   65716.433410
   94    94    1963376  66274.253041  58431.7670631138940     9.89     9.92          2      0.40364  181647.162184   65807.162185
   95    95    1967457  66412.007856  58431.7686574983300     5.07     5.07          1      0.39292  181904.908880   65944.908880
   96    96    2065566  69723.702296  58431.8069872950910     5.17     5.17          1      0.40142  191416.408649   69256.408650
   97    97    2075205  70049.069319  58431.8107531171200    11.92    13.94          2      0.40522  191941.756599   69581.756600
   98    98    2077763  70135.415054  58431.8117524890500     5.07     8.14          2      0.39886  192108.097274   69668.097275
   99    99    2078056  70145.306024  58431.8118669678720     5.10     7.64          2      0.41900  192117.987664   69677.987665
  100   100    2079110  70180.883554  58431.8122787448320     5.80     5.80          1      0.40422  192153.563110   69713.563110
  101   101    2083158  70317.525294  58431.8138602464640     5.43     7.58          2      0.41792  192410.196844   69850.196845
  102   102    2088628  70502.166080  58431.8159972925950    11.48    13.32          2      0.40439  192714.826814   70034.826815
  103   103    2088917  70511.921291  58431.8161102001280     5.05     5.50          2      0.40269  192724.581455   70044.581455
  104   104    2090492  70565.085825  58431.8167255303810    51.43    54.19          2      0.40294  192817.742874   70097.742875
  105   105    2095280  70726.706038  58431.8185961346940     5.08     5.08          1      0.40458  193059.353625   70259.353625
  106   106    2101318  70930.520215  58431.8209550950780     7.94    11.67          3      0.40336  193423.155870   70463.155870
  107   107    2103012  70987.702197  58431.8216169235710     5.00     6.26          2      0.42028  193520.334505   70520.334505
  108   108    2103962  71019.769178  58431.8219880691970     5.07     5.93          2      0.40544  193552.399609   70552.399610
  109   109    2106651  71110.536930  58431.8230386218750     5.98     5.98          1      0.40167  193723.162049   70643.162050
  110   110    2108859  71185.068241  58431.8239012527870     5.03     5.03          1      0.39303  193837.688999   70717.689000
  111   111    2109053  71191.616955  58431.8239770480900     6.07     6.07          1      0.39878  193844.237330   70724.237330
  112   112    2109230  71197.591349  58431.8240461961730     5.06    16.12          6      0.39003  193850.211374   70730.211375
  113   113    2109447  71204.917138  58431.8241309853950     5.42    12.24          4      0.41664  193857.536735   70737.536735
  114   114    2111856  71286.233145  58431.8250721428860     5.02     6.72          2      0.40478  194018.847985   70818.847985
  115   115    2112166  71296.697162  58431.8251932541950    15.77    16.90          2      0.40172  194029.311390   70829.311390
  116   116    2112265  71300.039108  58431.8252319341180     5.01     5.01          1      0.40692  194032.653139   70832.653140
  117   117    2115657  71414.536866  58431.8265571396610     5.03     6.39          2      0.40497  194227.144199   70947.144200
  118   118    2116751  71451.464881  58431.8269845472260     5.47     7.54          2      0.39775  194304.070055   70984.070055
  119   119    2118375  71506.283437  58431.8276190212610     5.06     5.06          1      0.39842  194358.885404   71038.885405
  120   120    2119719  71551.650910  58431.8281441077500     5.02     5.02          1      0.41058  194444.250224   71084.250225
  121   121    2122324  71639.583717  58431.8291618485760     5.03     6.90          2      0.42178  194612.177890   71172.177890
  122   122    2125307  71740.275055  58431.8303272575740     7.97    12.90          3      0.40436  194752.863339   71272.863340
  123   123    2126015  71764.173887  58431.8306038644350     5.45     8.66          3      0.40739  194816.760775   71296.760775
  124   124    2236161  75482.180306  58431.8736363461380    13.66    13.66          1      0.40808  205014.550325   75014.550325
  125   125    2237180  75516.576773  58431.8740344533890     6.33     6.33          1      0.40422  205048.944789   75048.944790
  126   126    2239535  75596.070430  58431.8749545188740    16.25    16.25          1      0.40503  205208.433820   75128.433820
  127   127    2241459  75661.016024  58431.8757062039810     5.15     5.15          1      0.41900  205313.375635   75193.375635
  128   128    2245959  75812.914138  58431.8774642840060     5.37     5.37          1      0.40328  205545.264909   75345.264910
  129   129    2248308  75892.205231  58431.8783820049920     6.43     6.43          1      0.40314  205704.551389   75424.551390
  130   130    2253062  76052.677632  58431.8802393244420     8.14    10.17          2      0.40019  205945.014454   75585.014455
  131   131    2253814  76078.061828  58431.8805331230080     5.06     9.22          3      0.40742  210010.397175   75610.397175
  132   132    2254362  76096.559654  58431.8807472182140    24.43    27.44          3      0.40578  210028.893924   75628.893925
