yyyy doy mn dd    MJD                 P0ms           Pdot0                  nu0            nudot0_15       tJPLms        SNthr 
2018 313 11 09  58431     33.7552247881230   4.200554E-013     29.6250434199999        -368658.79077      13.8631         5.00 
nGRPmax
   1390
 nGRP  nORG  NSEQpulse        TDBsec                  MJD   peakSN    sumSN  Nsubpulse        phase       UThhmmss          UTsec
   58    58    1421344  47977.814384  58431.5552987776000     6.24     6.24          1     -0.00067  131151.818285   47511.818285
   59    59    1421596  47986.320670  58431.5553972299780    18.06    18.06          1     -0.00172  131200.324054   47520.324055
   60    60    1422117  48003.907086  58431.5556007764610    44.57    47.02          2     -0.00372  131217.909404   47537.909405
   61    61    1423089  48036.717150  58431.5559805225730     5.25     7.24          2     -0.00444  131250.717479   47570.717480
   62    62    1423133  48038.202610  58431.5559977153920     6.02     6.41          2      0.00233  131252.202850   47572.202850
   63    63    1423418  48047.822738  58431.5561090594690     8.15    13.15          3     -0.00139  131301.822395   47581.822395
   64    64    1423499  48050.556933  58431.5561407052420     6.75     8.65          2     -0.00078  131304.556425   47584.556425
   65    65    1423724  48058.151799  58431.5562286087940    12.09    15.52          3     -0.00242  131312.150829   47592.150830
   66    66    1424037  48068.717299  58431.5563508946690    17.23    18.94          2      0.00081  131322.715689   47602.715690
   67    67    1424073  48069.932288  58431.5563649570430     9.52    11.58          2     -0.00542  131323.930605   47603.930605
   68    68    1424528  48085.291169  58431.5565427218560     5.22     8.96          3      0.00183  131339.288554   47619.288555
   69    69    1424952  48099.603436  58431.5567083730940     5.14     5.14          1      0.00311  131353.599954   47633.599955
   70    70    1425541  48119.485146  58431.5569384854780     6.28    11.18          3     -0.00044  131413.480459   47653.480460
   71    71    1426061  48137.037955  58431.5571416429950     6.52     8.58          2      0.00169  131431.032205   47671.032205
   72    72    1426301  48145.138696  58431.5572354015740     5.04     6.57          2     -0.01364  131439.132454   47679.132455
   73    73    1426568  48154.151877  58431.5573397207940     6.10    11.76          3      0.00236  131448.145089   47688.145090
   74    74    1426609  48155.535216  58431.5573557316740     6.02     6.02          1     -0.01647  131449.528344   47689.528345
   75    75    1426822  48162.725701  58431.5574389548670     8.25    13.94          3      0.00186  131456.718395   47696.718395
   76    76    1426844  48163.468321  58431.5574475500160    16.74    20.67          3      0.00228  131457.460970   47697.460970
   77    77    1427833  48196.852180  58431.5578339372670    21.85    24.42          2     -0.00036  131530.842805   47730.842805
   78    78    1428058  48204.447290  58431.5579218436350     8.59     8.59          1      0.00497  131538.437454   47738.437455
   79    79    1428212  48209.645480  58431.5579820078720     9.55     9.55          1      0.00178  131543.635329   47743.635330
   80    80    1428827  48230.404968  58431.5582222797180     9.15    11.59          2      0.00214  131604.393559   47764.393560
   81    81    1428839  48230.810012  58431.5582269677310    10.25    12.37          2      0.00158  131604.798580   47764.798580
   82    82    1430916  48300.919726  58431.5590384227580     7.14    18.07          4      0.00336  131714.904045   47834.904045
   83    83    1431766  48329.611449  58431.5593705028860    11.70    11.70          1     -0.00331  131743.594030   47863.594030
   84    84    1431844  48332.244324  58431.5594009759740     7.39    13.83          2     -0.00461  131746.226744   47866.226745
   85    85    1431999  48337.476576  58431.5594615344510     7.93    13.07          3      0.00128  131751.458680   47871.458680
